system	code	label	synonyms
WD	Q297078	oil pulling	"Gandoosh; alternative medical practice without proven benefit, in which oil is ""swished"" around the mouth; oil pulling; oil swishing"
WD	Q80994	adult	adult; adults; grown up; living organism that has reached sexual maturity
WD	Q65055622	Djenkolism	Djenkol been poisoning; Djenkolism; uncommon disease caused by djenkolic acid
WD	Q2634782	low vision	low vision; vision deficient in acuity, field of vision or motility; vision, low
WD	Q119931026	quadrigeminy	quadrigeminy
WD	Q1262764	Bezold's abscess	Bezold's abscess; medical condition
WD	Q105045485	Mycotoxic lupinosis	Mycotoxic lupinosis
WD	Q3877344	Pendular nystagmus	Other forms of nystagmus; Pendular nystagmus; sinusoidal oscillation, which refers to the waveform of involuntary eye movements that may occur in any direction
WD	Q2502694	tooth wear	abrasion; loss of tooth surface and substance by means other than dental caries; tooth abrasion; tooth wear
WD	Q16947699	Mumford procedure	Mumford procedure; distal clavicle excision; distal clavicle resection; surgical procedure to remove part of the collar bone
WD	Q6931138	mucinosis	human disease; mucinoses; mucinosis; mucinosis affecting the skin
WD	Q5141244	cognitive slippage	cognitive slippage; type of thought disorder
WD	Q4068121	Apophallosis	Apophallosis; Infection by Apophallus
WD	Q19703046	Severe X-linked intellectual disability, Gustavson type	Gustavson Syndrome; Gustavson syndrome; MENTAL RETARDATION WITH OPTIC ATROPHY, DEAFNESS, AND SEIZURES; Severe X-linked intellectual disability, Gustavson type; medical condition
WD	Q7136832	parent–child interaction therapy	intervention developed by Sheila Eyberg; parent–child interaction therapy
WD	Q4501578	chromocytoscopy	chromocytoscopy; endoscopic method in nephrology and urology, based on urine staining
WD	Q6949370	myxosarcoma	MYXOSARCOMA, MALIGNANT; Myxosarcoma; Myxosarcoma (morphologic abnormality); human disease; myxosarcoma
WD	Q126947315	summer bleeding	summer bleeding
WD	Q55105885	shoulder pain	scapulalgia; shoulder pain; unilateral or bilateral pain of the shoulder, caused by physical activities or pathologic in origin
WD	Q6040221	lung biopsy	interventional procedure to obtain a small piece of a lung; lung biopsy
WD	Q17086443	rats in New York City	rats in New York City; rodent infestation
