variable,type,JSD,KS,W1
A1_Score,discrete,0.010778528472501655,,
A2_Score,discrete,0.010298708100019165,,
A3_Score,discrete,0.06927283210143473,,
A4_Score,discrete,0.007273761683635451,,
A5_Score,discrete,0.16737487328854342,,
A6_Score,discrete,0.045424959975778306,,
A7_Score,discrete,0.16658420252229642,,
A8_Score,discrete,0.025280814903054165,,
A9_Score,discrete,0.06510763014210037,,
A10_Score,discrete,0.04933359346344433,,
age,continuous,,0.2758904109589041,0.8696494817737931
gender,discrete,0.04790789670479852,,
ethnicity,discrete,0.25742725206052525,,
jaundice,discrete,0.08192258272925101,,
autism,discrete,0.05002951652580861,,
country_of_res,discrete,0.5311478760479583,,
used_app_before,discrete,0.02069316969451874,,
result,discrete,0.22246437049348342,,
age_desc,discrete,0.0,,
relation,discrete,0.12167118168411613,,
class,discrete,0.08543510262113002,,
