variable,type,JSD,KS,W1
A1_Score,discrete,0.014128080309068841,,
A2_Score,discrete,0.2906210394089635,,
A3_Score,discrete,0.35838279556147157,,
A4_Score,discrete,0.4972341975312538,,
A5_Score,discrete,0.21655781216018108,,
A6_Score,discrete,0.21494356909800566,,
A7_Score,discrete,0.16347337842129522,,
A8_Score,discrete,0.28413043968791213,,
A9_Score,discrete,0.3563678054902581,,
A10_Score,discrete,0.33752389220474965,,
age,continuous,,0.18342465753424658,0.776986301369863
gender,discrete,0.3015560107425632,,
ethnicity,discrete,0.6192358179665051,,
jaundice,discrete,0.04089793880514965,,
autism,discrete,0.14107511243774493,,
country_of_res,discrete,0.9639183989541908,,
used_app_before,discrete,0.15273618007531628,,
result,discrete,0.923378780659474,,
age_desc,discrete,0.0,,
relation,discrete,0.16514503990647694,,
class,discrete,0.07532054604326274,,
