variable,type,JSD,KS,W1
A1_Score,discrete,0.03247041864883279,,
A2_Score,discrete,0.07140840986467764,,
A3_Score,discrete,0.08629350727547136,,
A4_Score,discrete,0.016095565436406493,,
A5_Score,discrete,0.13602222654327872,,
A6_Score,discrete,0.03275611546957949,,
A7_Score,discrete,0.1728304353069985,,
A8_Score,discrete,0.04272670392126318,,
A9_Score,discrete,0.08543510262113002,,
A10_Score,discrete,0.017096760556949107,,
age,continuous,,0.28,0.6037040308381549
gender,discrete,0.0575858252924513,,
ethnicity,discrete,0.23749890240856103,,
jaundice,discrete,0.07144128325509416,,
autism,discrete,0.008957536897769373,,
country_of_res,discrete,0.5115672310308015,,
used_app_before,discrete,0.0016510648036472636,,
result,discrete,0.24640459175219576,,
age_desc,discrete,0.0,,
relation,discrete,0.1255767803347751,,
class,discrete,0.12315276300123988,,
