variable,type,JSD,KS,W1
A1_Score,discrete,0.13265941716453383,,
A2_Score,discrete,0.02779913869688571,,
A3_Score,discrete,0.11084031042798227,,
A4_Score,discrete,0.05469943065208763,,
A5_Score,discrete,0.31958221395291175,,
A6_Score,discrete,0.016491037826887888,,
A7_Score,discrete,0.24761322262135105,,
A8_Score,discrete,0.00490004739388105,,
A9_Score,discrete,0.02329567237593229,,
A10_Score,discrete,0.2588359607520665,,
age,continuous,,0.13095890410958905,0.3643835616438356
gender,discrete,0.0319926596862462,,
ethnicity,discrete,0.2701671777263383,,
jaundice,discrete,0.18173481086387608,,
autism,discrete,0.0628468138881067,,
country_of_res,discrete,0.7435670721206411,,
used_app_before,discrete,0.049577394402967434,,
result,discrete,0.4266371481233815,,
age_desc,discrete,0.0,,
relation,discrete,0.1226364749046394,,
class,discrete,0.2113466415129868,,
