variable,type,JSD
A1_Score,discrete,0.0017445159682889652
A2_Score,discrete,0.03943923945287267
A3_Score,discrete,0.09321632374278038
A4_Score,discrete,0.013151983479030467
A5_Score,discrete,0.1745450526842318
A6_Score,discrete,0.04542495997577828
A7_Score,discrete,0.1267066507084721
A8_Score,discrete,0.04563421261162391
A9_Score,discrete,0.030084233259846292
A10_Score,discrete,0.0625708855764545
age,discrete,0.18338187193413813
gender,discrete,0.07065507661867207
ethnicity,discrete,0.24142072065700565
jaundice,discrete,0.03757908296179528
autism,discrete,0.05716875434303476
country_of_res,discrete,0.5503750637695614
used_app_before,discrete,0.02069316969451874
result,discrete,0.2791848324989144
age_desc,discrete,0.0
relation,discrete,0.1326227508871138
class,discrete,0.12605819440377106
