variable,type,JSD
A1_Score,discrete,0.1559158102744956
A2_Score,discrete,0.08380991162065098
A3_Score,discrete,0.35128311649022875
A4_Score,discrete,0.4337856126000824
A5_Score,discrete,0.3434292476747492
A6_Score,discrete,0.2480953411734165
A7_Score,discrete,0.3040181099300034
A8_Score,discrete,0.4081585762162223
A9_Score,discrete,0.315722184342123
A10_Score,discrete,0.29476932057158534
age,discrete,0.5286254016529176
gender,discrete,0.17790717262155703
ethnicity,discrete,0.5934935989495811
jaundice,discrete,0.18064440335644227
autism,discrete,0.3604271313096153
country_of_res,discrete,0.9638999952705737
used_app_before,discrete,0.123803369623288
result,discrete,0.9220473011140246
age_desc,discrete,0.0
relation,discrete,0.1718132594203293
class,discrete,0.13646158094748234
