variable,type,JSD
A1_Score,discrete,0.023455300050363267
A2_Score,discrete,0.036530681513458514
A3_Score,discrete,0.12165180670476952
A4_Score,discrete,0.05769988090194067
A5_Score,discrete,0.1673748732885434
A6_Score,discrete,0.029561741807785483
A7_Score,discrete,0.15110731460828408
A8_Score,discrete,0.03981935442836959
A9_Score,discrete,0.09993745628693425
A10_Score,discrete,0.1037340164861975
age,discrete,0.19863826947203797
gender,discrete,0.07065507661867207
ethnicity,discrete,0.24817665563224653
jaundice,discrete,0.09977640541702103
autism,discrete,0.0391456183821918
country_of_res,discrete,0.5361841508827346
used_app_before,discrete,0.0016510648036472636
result,discrete,0.1848978021996819
age_desc,discrete,0.0
relation,discrete,0.15746723098740467
class,discrete,0.15812324710704267
