variable,type,JSD
A1_Score,discrete,0.014031452430615491
A2_Score,discrete,0.07339847235051822
A3_Score,discrete,0.18750819854939105
A4_Score,discrete,0.06994394168175795
A5_Score,discrete,0.22597979755141834
A6_Score,discrete,0.06144207196742924
A7_Score,discrete,0.18053869336142653
A8_Score,discrete,0.10386605575516857
A9_Score,discrete,0.008785788534236715
A10_Score,discrete,0.21163569701696816
age,discrete,0.2568850848913584
gender,discrete,0.12311840409573213
ethnicity,discrete,0.259061290070617
jaundice,discrete,0.1742262918789321
autism,discrete,0.1023244539369304
country_of_res,discrete,0.7372607231532948
used_app_before,discrete,0.10036366160545059
result,discrete,0.4060154053831666
age_desc,discrete,0.0
relation,discrete,0.07432262196063033
class,discrete,0.22610451953442143
