variable,type,JSD,KS,W1
HighBP,discrete,0.04382847583326493,,
HighChol,discrete,0.031249895291382387,,
CholCheck,discrete,0.02096992474358869,,
BMI,continuous,,0.124,1.2287443263978637
Smoker,discrete,0.05183618299907716,,
Stroke,discrete,0.04923944437640601,,
HeartDiseaseorAttack,discrete,0.027287033559374858,,
PhysActivity,discrete,0.020341686525253425,,
Fruits,discrete,0.02391122434706183,,
Veggies,discrete,0.02144049459376306,,
HvyAlcoholConsump,discrete,0.016163745546455062,,
AnyHealthcare,discrete,0.04928129071631174,,
NoDocbcCost,discrete,0.07164019282682539,,
GenHlth,discrete,0.04205663128712756,,
MentHlth,continuous,,0.365,4.067333146050839
PhysHlth,continuous,,0.31,3.7284650580212797
DiffWalk,discrete,0.006831602652253746,,
Sex,discrete,0.01792812424062626,,
Age,discrete,0.14204412798833185,,
Education,discrete,0.05023728357450117,,
Income,discrete,0.1307753396603642,,
Diabetes_binary,discrete,0.011167791368526638,,
