variable,type,JSD,KS,W1
HighBP,discrete,0.20002412362832883,,
HighChol,discrete,0.10111488238464864,,
CholCheck,discrete,0.05824577254887186,,
BMI,continuous,,0.9612898139388205,15.756724860672303
Smoker,discrete,0.08303420429237864,,
Stroke,discrete,0.07893057516516637,,
HeartDiseaseorAttack,discrete,0.1538760966299275,,
PhysActivity,discrete,0.3231447590143755,,
Fruits,discrete,0.03356836257917488,,
Veggies,discrete,0.08457757392684784,,
HvyAlcoholConsump,discrete,0.08325823055452808,,
AnyHealthcare,discrete,0.09546467802600618,,
NoDocbcCost,discrete,0.18364040039062207,,
GenHlth,discrete,0.3287088422743349,,
MentHlth,continuous,,0.710557592242195,3.2175863314025857
PhysHlth,continuous,,0.7340113528855251,4.325251649967766
DiffWalk,discrete,0.23036658132841398,,
Sex,discrete,0.11054934425249732,,
Age,discrete,0.8622905489287372,,
Education,discrete,0.49174706143401226,,
Income,discrete,0.3284006455976233,,
Diabetes_binary,discrete,0.20959771049221562,,
