variable,type,JSD,KS,W1
HighBP,discrete,0.011112524928637858,,
HighChol,discrete,0.044425807287156976,,
CholCheck,discrete,0.029514174260697357,,
BMI,continuous,,0.088,0.9591999681598954
Smoker,discrete,0.04587904100394793,,
Stroke,discrete,0.026372972165496483,,
HeartDiseaseorAttack,discrete,0.0028830753540600063,,
PhysActivity,discrete,0.030281410823053773,,
Fruits,discrete,0.009790572108492506,,
Veggies,discrete,0.0106169718741767,,
HvyAlcoholConsump,discrete,0.031279606570749914,,
AnyHealthcare,discrete,0.06725151511121429,,
NoDocbcCost,discrete,0.047842731141586915,,
GenHlth,discrete,0.033479443276706204,,
MentHlth,continuous,,0.695,3.1873381617653456
PhysHlth,continuous,,0.61,2.962514359382884
DiffWalk,discrete,0.029157532113296306,,
Sex,discrete,0.003407145950220697,,
Age,discrete,0.1319606010809264,,
Education,discrete,0.04986528837692516,,
Income,discrete,0.12010769558779681,,
Diabetes_binary,discrete,0.012428263818953834,,
