variable,type,JSD,KS,W1
HighBP,discrete,0.03086598567934759,,
HighChol,discrete,0.020779681435061207,,
CholCheck,discrete,0.02096992474358869,,
BMI,continuous,,0.124,1.2186972303445196
Smoker,discrete,0.050133616737302884,,
Stroke,discrete,0.04652680757860814,,
HeartDiseaseorAttack,discrete,0.022555709581685443,,
PhysActivity,discrete,0.015316201157343107,,
Fruits,discrete,0.02391122434706183,,
Veggies,discrete,0.02144049459376306,,
HvyAlcoholConsump,discrete,0.016163745546455062,,
AnyHealthcare,discrete,0.058461210993076565,,
NoDocbcCost,discrete,0.03669374955422794,,
GenHlth,discrete,0.05773459163469038,,
MentHlth,continuous,,0.357,3.838339892637465
PhysHlth,continuous,,0.308,3.7868017242327077
DiffWalk,discrete,0.024363814405540227,,
Sex,discrete,0.004262042713068297,,
Age,discrete,0.12555443214820267,,
Education,discrete,0.04857322660331204,,
Income,discrete,0.11123239660108956,,
Diabetes_binary,discrete,0.0012220291561145325,,
