variable,type,JSD,KS,W1
HighBP,discrete,0.10104623371605943,,
HighChol,discrete,0.06663798181244451,,
CholCheck,discrete,0.007658032107326957,,
BMI,continuous,,0.268,2.740400877226256
Smoker,discrete,0.09719746741628787,,
Stroke,discrete,0.10699709780779548,,
HeartDiseaseorAttack,discrete,0.10746291541996558,,
PhysActivity,discrete,0.03956690386830548,,
Fruits,discrete,0.016183802975556633,,
Veggies,discrete,0.1664849116395622,,
HvyAlcoholConsump,discrete,0.05548009579760431,,
AnyHealthcare,discrete,0.01573590399206221,,
NoDocbcCost,discrete,0.0882388191555948,,
GenHlth,discrete,0.07217093181705055,,
MentHlth,continuous,,0.481,1.6224453045997658
PhysHlth,continuous,,0.433,1.4842051931245295
DiffWalk,discrete,0.15434262466139853,,
Sex,discrete,0.04283925217528758,,
Age,discrete,0.42278368627279117,,
Education,discrete,0.0815978204746861,,
Income,discrete,0.17650033905933285,,
Diabetes_binary,discrete,0.09133723714755308,,
