variable,type,JSD,KS,W1
age,discrete,0.16157284317217216,,
bp,discrete,0.05471048464830936,,
sg,continuous,,0.1775,0.001634087257707658
al,discrete,0.040592005523398894,,
su,discrete,0.030862063428101175,,
rbc,discrete,0.06557129829691444,,
pc,discrete,0.009712163526663873,,
pcc,discrete,0.01572268879037234,,
ba,discrete,0.020505141725641756,,
bgr,discrete,0.22432130290752772,,
bu,discrete,0.21994423033436375,,
sc,discrete,0.19920962886198793,,
sod,discrete,0.12522521545158208,,
pot,discrete,0.1210112336560438,,
hemo,discrete,0.20608406638477444,,
pcv,discrete,0.1462513578519585,,
wbcc,continuous,,0.1375,594.5061438846576
rbcc,continuous,,0.1625,0.23128519170670014
htn,discrete,0.0650497962112119,,
dm,discrete,0.057472739404520634,,
cad,discrete,0.007419861037286164,,
appet,discrete,0.03771977970675238,,
pe,discrete,0.007673105210539469,,
ane,discrete,0.01130589597198923,,
class,discrete,0.0584983284968829,,
