variable,type,KS,W1,JSD
age,continuous,1.0,34.03125,
bp,continuous,0.1015625,2.5,
sg,continuous,0.24609375,0.002792968749999976,
al,discrete,,,0.36467682463497414
su,discrete,,,0.23418597680084757
rbc,discrete,,,0.17976923090374874
pc,discrete,,,0.27477184672928706
pcc,discrete,,,0.07300809602027658
ba,discrete,,,0.10570431087802547
bgr,continuous,0.90625,178.98801920547623,
bu,continuous,1.0,48.9375,
sc,continuous,0.78125,6.280339112523266,
sod,continuous,1.0,25.630542710167454,
pot,continuous,0.77734375,2.823969688646421,
hemo,continuous,1.0,10.365625000000001,
pcv,continuous,0.31640625,3.6109457570065855,
wbcc,continuous,0.9375,12190.874222209799,
rbcc,continuous,0.96875,2.609112384018088,
htn,discrete,,,0.22546095376070707
dm,discrete,,,0.06345413327490106
cad,discrete,,,0.058248116976909375
appet,discrete,,,0.21761911251116367
pe,discrete,,,0.17183410437027005
ane,discrete,,,0.23378349900194395
class,discrete,,,0.05030192288194824
