variable,type,KS,W1,JSD
age,continuous,0.1325,2.6479407574839846,
bp,continuous,0.2925,3.5695762136459823,
sg,continuous,0.40625,0.0018813536247496536,
al,discrete,,,0.08382525186444663
su,discrete,,,0.20152480275680118
rbc,discrete,,,0.045772339763334884
pc,discrete,,,0.09211842148362478
pcc,discrete,,,0.02892331849982931
ba,discrete,,,0.06323655784132573
bgr,continuous,0.265,19.823736112363584,
bu,continuous,0.14,11.611223238932512,
sc,continuous,0.295,0.9464422071420834,
sod,continuous,0.17375,2.1217117783347588,
pot,continuous,0.1375,1.4941844321226085,
hemo,continuous,0.17,0.6781936816479126,
pcv,continuous,0.22125,2.5304054825281868,
wbcc,continuous,0.20375,689.0559311416986,
rbcc,continuous,0.15875,0.2664954051975294,
htn,discrete,,,0.05237180937411796
dm,discrete,,,0.0027130809400349215
cad,discrete,,,0.11726587568298051
appet,discrete,,,0.04794547488180703
pe,discrete,,,0.01572268875375351
ane,discrete,,,0.03718175860132966
class,discrete,,,0.003549166354324364
