variable,type,KS,W1,JSD
age,continuous,0.1275,2.6950669404946357,
bp,continuous,0.3025,3.907760359568249,
sg,continuous,0.31625,0.001858950970294056,
al,discrete,,,0.09249937054766613
su,discrete,,,0.202042807513163
rbc,discrete,,,0.015973088935102773
pc,discrete,,,0.0949854716766076
pcc,discrete,,,0.05852837655015837
ba,discrete,,,0.09185441643975455
bgr,continuous,0.12,12.766747004396176,
bu,continuous,0.2825,11.044563671622264,
sc,continuous,0.2275,0.44129249971923523,
sod,continuous,0.16125,1.9129983869981981,
pot,continuous,0.17125,1.4920519544435304,
hemo,continuous,0.1375,0.5109665538560025,
pcv,continuous,0.21625,2.3257372121487023,
wbcc,continuous,0.20125,713.1239012866171,
rbcc,continuous,0.13125,0.2445836041977389,
htn,discrete,,,0.02758926715685633
dm,discrete,,,0.039597610900132044
cad,discrete,,,0.09179573624387664
appet,discrete,,,0.09351627351680243
pe,discrete,,,
ane,discrete,,,0.03718175860132966
class,discrete,,,0.04741087171909256
