variable,type,KS,W1,JSD
age,continuous,0.15625,4.42508130063635,
bp,continuous,0.1328125,2.734375,
sg,continuous,0.16796875,0.0017968750000000033,
al,discrete,,,0.2962282485247802
su,discrete,,,0.175010165863801
rbc,discrete,,,0.10309954285974708
pc,discrete,,,0.2671257905381347
pcc,discrete,,,0.07300809602027658
ba,discrete,,,0.19299999939129872
bgr,continuous,0.19921875,13.220537711537293,
bu,continuous,0.49609375,24.112401918361723,
sc,continuous,0.3671875,1.136360060667482,
sod,continuous,0.39453125,2.7138582757761345,
pot,continuous,0.21875,1.5403440224906806,
hemo,continuous,0.2734375,1.492842807354976,
pcv,continuous,0.30078125,4.242227775526068,
wbcc,continuous,0.265625,987.2347981412225,
rbcc,continuous,0.28515625,0.5396925797840688,
htn,discrete,,,0.2228826419317439
dm,discrete,,,0.1572668320138823
cad,discrete,,,0.031774796383785976
appet,discrete,,,0.21761911251116367
pe,discrete,,,0.09868376133001125
ane,discrete,,,0.21823753439591556
class,discrete,,,0.2133403594646558
