variable,type,JSD,KS,W1
race,discrete,0.09570246832996251,,
gender,discrete,0.0586537870329047,,
age,discrete,0.03880757840206891,,
weight,discrete,0.0953163092487481,,
admission_type_id,discrete,0.09071561898302585,,
discharge_disposition_id,continuous,,0.31,2.843411129122312
admission_source_id,discrete,0.09231249579969189,,
time_in_hospital,discrete,0.08111564404581384,,
payer_code,discrete,0.1360584297448869,,
medical_specialty,discrete,0.23851905248584923,,
num_lab_procedures,continuous,,0.082,3.047293221937225
num_procedures,discrete,0.09359756071199803,,
num_medications,continuous,,0.092,1.1656287540918064
number_outpatient,continuous,,0.493,0.739296859413755
number_emergency,continuous,,0.527,0.35260601829740823
number_inpatient,continuous,,0.393,0.5256390013307477
diag_1,discrete,0.5493734052908648,,
diag_2,discrete,0.46123251182454805,,
diag_3,discrete,0.4862161453224994,,
number_diagnoses,discrete,0.09098729626246659,,
max_glu_serum,discrete,0.12004395646575484,,
A1Cresult,discrete,0.041640058999581835,,
metformin,discrete,0.048373993007711426,,
repaglinide,discrete,0.03810507018790567,,
nateglinide,discrete,0.07430976701648727,,
chlorpropamide,discrete,0.0,,
glimepiride,discrete,0.0531125173653683,,
acetohexamide,discrete,0.0,,
glipizide,discrete,0.04413941535831043,,
glyburide,discrete,0.0931819638773278,,
tolbutamide,discrete,0.0,,
pioglitazone,discrete,0.03900604101848897,,
rosiglitazone,discrete,0.043353787152331104,,
acarbose,discrete,0.044753671355619654,,
miglitol,discrete,0.0,,
troglitazone,discrete,0.0,,
tolazamide,discrete,0.0,,
examide,discrete,0.0,,
citoglipton,discrete,0.0,,
insulin,discrete,0.05507122127404804,,
glyburide-metformin,discrete,0.04968297748226958,,
glipizide-metformin,discrete,0.0,,
glimepiride-pioglitazone,discrete,0.0,,
metformin-rosiglitazone,discrete,0.0,,
metformin-pioglitazone,discrete,0.0,,
change,discrete,0.03159673937512371,,
diabetesMed,discrete,0.014400199574930737,,
readmitted,discrete,0.06179746430318357,,
