variable,type,JSD,KS,W1
race,discrete,0.30421941609253855,,
gender,discrete,0.19512866231676385,,
age,discrete,0.3863308348618257,,
weight,discrete,0.3238330871688421,,
admission_type_id,discrete,0.3660549600376036,,
discharge_disposition_id,continuous,,0.245,2.226532896799042
admission_source_id,discrete,0.21722284915334614,,
time_in_hospital,discrete,0.8945866470212331,,
payer_code,discrete,0.8748534791229698,,
medical_specialty,discrete,0.979888346039782,,
num_lab_procedures,continuous,,0.767,30.61146753846952
num_procedures,discrete,0.33118333721922055,,
num_medications,continuous,,0.732,12.946157976800283
number_outpatient,continuous,,0.155,0.3700000000000001
number_emergency,continuous,,0.085,0.11699999999999999
number_inpatient,continuous,,0.253,0.44599999999999984
diag_1,discrete,0.9392470709081014,,
diag_2,discrete,0.9886615103167303,,
diag_3,discrete,0.9990244897477871,,
number_diagnoses,discrete,0.40348310822867683,,
max_glu_serum,discrete,0.3455061334838194,,
A1Cresult,discrete,0.32984754950934086,,
metformin,discrete,0.5061023133525245,,
repaglinide,discrete,0.0964311366028396,,
nateglinide,discrete,0.06719131855899159,,
chlorpropamide,discrete,0.0,,
glimepiride,discrete,0.14498629851691994,,
acetohexamide,discrete,0.0,,
glipizide,discrete,0.20025830883730794,,
glyburide,discrete,0.1696276688902236,,
tolbutamide,discrete,0.0,,
pioglitazone,discrete,0.18831854226694938,,
rosiglitazone,discrete,0.16517148863891667,,
acarbose,discrete,0.05923569435044229,,
miglitol,discrete,0.0,,
troglitazone,discrete,0.0,,
tolazamide,discrete,0.05004517609795544,,
examide,discrete,0.0,,
citoglipton,discrete,0.0,,
insulin,discrete,0.22608580365439682,,
glyburide-metformin,discrete,0.04365128497837616,,
glipizide-metformin,discrete,0.0,,
glimepiride-pioglitazone,discrete,0.0,,
metformin-rosiglitazone,discrete,0.0,,
metformin-pioglitazone,discrete,0.0,,
change,discrete,0.17162778037866913,,
diabetesMed,discrete,0.04334843179905342,,
readmitted,discrete,0.09139536488756146,,
