variable,type,JSD,KS,W1
race,discrete,0.0477006666502589,,
gender,discrete,0.06804437877803417,,
age,discrete,0.08421561856437158,,
weight,discrete,0.10588505071767552,,
admission_type_id,discrete,0.10139208417897316,,
discharge_disposition_id,continuous,,0.615,1.6137538412984693
admission_source_id,discrete,0.1130889585662162,,
time_in_hospital,discrete,0.07625867990338575,,
payer_code,discrete,0.14514042349601214,,
medical_specialty,discrete,0.21181327175115583,,
num_lab_procedures,continuous,,0.084,2.9205414128546225
num_procedures,discrete,0.11223589491227477,,
num_medications,continuous,,0.083,1.1555129219857212
number_outpatient,continuous,,0.845,0.4357664475034991
number_emergency,continuous,,0.895,0.22172560840977934
number_inpatient,continuous,,0.685,0.3528410700375942
diag_1,discrete,0.5254588778444531,,
diag_2,discrete,0.49533887763129997,,
diag_3,discrete,0.4810057149849918,,
number_diagnoses,discrete,0.10011917111672419,,
max_glu_serum,discrete,0.09283906095105372,,
A1Cresult,discrete,0.06445816902293731,,
metformin,discrete,0.046224346540548626,,
repaglinide,discrete,0.055955313915541476,,
nateglinide,discrete,0.06333709707635954,,
chlorpropamide,discrete,0.0,,
glimepiride,discrete,0.06425662810453826,,
acetohexamide,discrete,0.0,,
glipizide,discrete,0.03820389406380725,,
glyburide,discrete,0.08246659427632189,,
tolbutamide,discrete,0.0,,
pioglitazone,discrete,0.04070405223724726,,
rosiglitazone,discrete,0.028573733330786288,,
acarbose,discrete,0.031634190327244856,,
miglitol,discrete,0.0,,
troglitazone,discrete,0.0,,
tolazamide,discrete,0.0,,
examide,discrete,0.0,,
citoglipton,discrete,0.0,,
insulin,discrete,0.05213419975566837,,
glyburide-metformin,discrete,0.03294455723482197,,
glipizide-metformin,discrete,0.0,,
glimepiride-pioglitazone,discrete,0.0,,
metformin-rosiglitazone,discrete,0.0,,
metformin-pioglitazone,discrete,0.0,,
change,discrete,0.02648904150084539,,
diabetesMed,discrete,0.013089128350486636,,
readmitted,discrete,0.04808073874697826,,
