variable,type,JSD,KS,W1
race,discrete,0.1456317233678459,,
gender,discrete,0.08171020795929877,,
age,discrete,0.12403617884700747,,
weight,discrete,0.206583260258996,,
admission_type_id,discrete,0.1353010688903536,,
discharge_disposition_id,continuous,,0.50953125,0.45705951244241894
admission_source_id,discrete,0.16217524103816747,,
time_in_hospital,discrete,0.3194313605909672,,
payer_code,discrete,0.4271678191243355,,
medical_specialty,discrete,0.5593729060114684,,
num_lab_procedures,continuous,,0.1509375,5.275729347248269
num_procedures,discrete,0.17419168304414928,,
num_medications,continuous,,0.12296875,1.9635001440531537
number_outpatient,continuous,,0.09640625,0.2684375000000001
number_emergency,continuous,,0.03109375,0.07234375000000004
number_inpatient,continuous,,0.0571875,0.19671874999999994
diag_1,discrete,0.7482576289531025,,
diag_2,discrete,0.7600864191207884,,
diag_3,discrete,0.8005707850202968,,
number_diagnoses,discrete,0.11205733167850801,,
max_glu_serum,discrete,0.13052131375112813,,
A1Cresult,discrete,0.1028434647670809,,
metformin,discrete,0.0226656440505004,,
repaglinide,discrete,0.03451499218590105,,
nateglinide,discrete,0.04422535512718261,,
chlorpropamide,discrete,0.0,,
glimepiride,discrete,0.07639777944305301,,
acetohexamide,discrete,0.0,,
glipizide,discrete,0.08656001950191701,,
glyburide,discrete,0.09176750787107767,,
tolbutamide,discrete,0.0,,
pioglitazone,discrete,0.08476929602498935,,
rosiglitazone,discrete,0.047769088487180714,,
acarbose,discrete,0.0,,
miglitol,discrete,0.0,,
troglitazone,discrete,0.0,,
tolazamide,discrete,0.04422535512718261,,
examide,discrete,0.0,,
citoglipton,discrete,0.0,,
insulin,discrete,0.09287097729007394,,
glyburide-metformin,discrete,0.05027825128638387,,
glipizide-metformin,discrete,0.0,,
glimepiride-pioglitazone,discrete,0.0,,
metformin-rosiglitazone,discrete,0.0,,
metformin-pioglitazone,discrete,0.0,,
change,discrete,0.056309892555623194,,
diabetesMed,discrete,0.09780965062442334,,
readmitted,discrete,0.032675140712881426,,
