variable,type,KS,W1,JSD
age,continuous,0.08382838283828382,1.1177774224873422,
sex,discrete,,,0.09409806068860921
cp,discrete,,,0.15163476790395505
trestbps,continuous,0.16452145214521452,3.4708526094623684,
chol,continuous,0.1783828382838284,11.021449026273695,
fbs,discrete,,,0.11709269480515906
restecg,discrete,,,0.12600836352745298
thalach,continuous,0.21353135313531355,7.7047416628733245,
exang,discrete,,,0.1120521253891998
oldpeak,continuous,0.1617161716171617,0.3009547025375382,
slope,discrete,,,0.08803477020692356
ca,discrete,,,0.07798900053185605
thal,discrete,,,0.05054895691340983
num,discrete,,,0.08466451292225302
