variable,type,KS,W1,JSD
age,continuous,0.9666666666666667,20.158666166679673,
sex,discrete,,,0.41360472343689497
cp,discrete,,,0.5972644675417598
trestbps,continuous,0.9833333333333333,35.483333333333334,
chol,continuous,1.0,116.96666666666667,
fbs,discrete,,,0.047969965311886735
restecg,discrete,,,0.7657469832448031
thalach,continuous,0.8494791666666667,41.465560392274185,
exang,discrete,,,0.3378427407220207
oldpeak,continuous,0.6119791666666666,2.632901989487218,
slope,discrete,,,0.5603409633438009
ca,discrete,,,0.36505151659467633
thal,discrete,,,0.1832550586087072
num,discrete,,,0.3528488941826613
