variable,type,KS,W1,JSD
age,continuous,0.09768976897689768,1.265686614617617,
sex,discrete,,,0.10623837626288897
cp,discrete,,,0.13427685193845748
trestbps,continuous,0.17772277227722771,3.7632223992869314,
chol,continuous,0.0891089108910891,6.297022929532133,
fbs,discrete,,,0.10976290752996998
restecg,discrete,,,0.1403351611976212
thalach,continuous,0.19372937293729373,6.255262792435701,
exang,discrete,,,0.12076783562312213
oldpeak,continuous,0.2833333333333333,0.24070176809616467,
slope,discrete,,,0.143815117461935
ca,discrete,,,0.05810310415004439
thal,discrete,,,0.12175311550959661
num,discrete,,,0.09860806517926965
