variable,type,KS,W1,JSD
age,continuous,0.19557291666666668,2.881553833234502,
sex,discrete,,,0.11727813682131275
cp,discrete,,,0.10455096756724681
trestbps,continuous,0.29244791666666664,6.368751882443049,
chol,continuous,0.3033854166666667,24.91840731456827,
fbs,discrete,,,0.0020077839491326644
restecg,discrete,,,0.1584004331920809
thalach,continuous,0.22265625,7.495358648165852,
exang,discrete,,,0.09325948678108052
oldpeak,continuous,0.24479166666666666,0.3458892391975114,
slope,discrete,,,0.08097981142325333
ca,discrete,,,0.14542829270916743
thal,discrete,,,0.12855454521516183
num,discrete,,,0.12131133967251362
