variable,type,KS,W1,JSD
Age,continuous,0.225,4.5188465490805605,
Sex,discrete,,,0.18985495055053309
Steroid,discrete,,,0.18579225707691185
Antivirals,discrete,,,0.0264294010989227
Fatigue,discrete,,,0.12532606298777177
Malaise,discrete,,,0.22362052239967029
Anorexia,discrete,,,0.1568882346576215
Liver Big,discrete,,,0.11117279221429831
Liver Firm,discrete,,,0.004490348874823804
Spleen Palpable,discrete,,,0.12606263294948544
Spiders,discrete,,,0.17210911184136873
Ascites,discrete,,,0.03655700305366521
Varices,discrete,,,0.26701281708542796
Bilirubin,continuous,0.2064516129032258,0.33790942160965426,
Alk Phosphate,continuous,0.16774193548387098,16.22423339798535,
Sgot,continuous,0.2125,39.79206271907239,
Albumin,continuous,0.3088709677419355,0.27673403236929084,
Protime,continuous,0.2399193548387097,7.4534175616640574,
Histology,discrete,,,0.21281896836043437
Class,discrete,,,0.051428156912632646
