variable,type,KS,W1,JSD
Age,continuous,0.13830645161290323,2.6941285878253445,
Sex,discrete,,,0.1494679963281259
Steroid,discrete,,,0.29888436111710237
Antivirals,discrete,,,0.007867254553765518
Fatigue,discrete,,,0.14752505414279926
Malaise,discrete,,,0.21778843217219088
Anorexia,discrete,,,0.1743923954822253
Liver Big,discrete,,,0.036847325787925884
Liver Firm,discrete,,,0.023057805619569043
Spleen Palpable,discrete,,,0.10010420167061032
Spiders,discrete,,,0.14948865282968576
Ascites,discrete,,,0.020225216989613926
Varices,discrete,,,0.2990275449583949
Bilirubin,continuous,0.25806451612903225,0.21490186382150436,
Alk Phosphate,continuous,0.10524193548387097,9.208659295975147,
Sgot,continuous,0.22258064516129034,34.09111598055512,
Albumin,continuous,0.3133064516129032,0.24182801561616685,
Protime,continuous,0.20120967741935483,5.750901207745965,
Histology,discrete,,,0.21820469242226337
Class,discrete,,,0.05868416253542959
