variable,type,JSD
Age,discrete,0.18459415660017395
Sex,discrete,0.03565335317725036
Steroid,discrete,0.030159401647311092
Antivirals,discrete,0.002739764373541998
Fatigue,discrete,0.024669868430305275
Malaise,discrete,0.019183942752330988
Anorexia,discrete,0.04115253930423225
Liver Big,discrete,0.03565335317725036
Liver Firm,discrete,0.01370081832098715
Spleen Palpable,discrete,0.030159401647311092
Spiders,discrete,0.01370081832098715
Ascites,discrete,0.030159401647311092
Varices,discrete,0.024669868430305275
Bilirubin,discrete,0.1678097201706621
Alk Phosphate,discrete,0.22702293426322576
Sgot,discrete,0.2236467308205276
Albumin,discrete,0.20614605611414347
Protime,discrete,0.1949505473711276
Histology,discrete,0.07986363302014676
Class,discrete,0.024669868430305275
