variable,type,KS,W1,JSD
Age,continuous,0.23709677419354838,4.420720588604449,
Sex,discrete,,,0.0630319980840593
Steroid,discrete,,,0.22896306768117713
Antivirals,discrete,,,0.11622471472506102
Fatigue,discrete,,,0.13090334200225898
Malaise,discrete,,,0.2714166839780832
Anorexia,discrete,,,0.24415372709190952
Liver Big,discrete,,,0.14988269756511022
Liver Firm,discrete,,,0.06043324230213553
Spleen Palpable,discrete,,,0.22112423320851152
Spiders,discrete,,,0.13800445844631196
Ascites,discrete,,,0.06582974842588778
Varices,discrete,,,0.2462683213263484
Bilirubin,continuous,0.3471774193548387,0.3926427960501476,
Alk Phosphate,continuous,0.23548387096774193,20.533761489799154,
Sgot,continuous,0.44475806451612904,44.139602533534436,
Albumin,continuous,0.3064516129032258,0.22334517466480142,
Protime,continuous,0.37338709677419357,8.652892988651535,
Histology,discrete,,,0.158524474651651
Class,discrete,,,0.12374547398307129
