variable,type,KS,W1,JSD
age,continuous,0.1259259259259259,1.9894697526998575,
sex,discrete,,,0.0519251026107517
chest-pain,discrete,,,0.15466216958939744
rest-bp,continuous,0.2074074074074074,5.287613903625129,
serum-chol,continuous,0.07037037037037037,5.018852700920972,
fasting-blood-sugar,discrete,,,0.07098183628757963
electrocardiographic,discrete,,,0.07934481725798644
max-heart-rate,continuous,0.1259259259259259,4.099697733041547,
angina,discrete,,,0.1035654137433879
oldpeak,continuous,0.2222222222222222,0.4206590524424492,
slope,discrete,,,0.04275778701323578
major-vessels,discrete,,,0.18757263886517678
thal,discrete,,,0.07800640818751367
heart-disease,discrete,,,0.06679586209712313
