variable,type,KS,W1,JSD
age,continuous,0.14444444444444443,2.0249169338066184,
sex,discrete,,,0.08872157273715232
chest-pain,discrete,,,0.1275574784485696
rest-bp,continuous,0.14074074074074075,2.6251009128755696,
serum-chol,continuous,0.07037037037037037,5.791593405087748,
fasting-blood-sugar,discrete,,,0.11866388168759937
electrocardiographic,discrete,,,0.08306737161030935
max-heart-rate,continuous,0.1037037037037037,3.076396521004305,
angina,discrete,,,0.03590220594008876
oldpeak,continuous,0.35185185185185186,0.19904644228531032,
slope,discrete,,,0.04466041139283541
major-vessels,discrete,,,0.17236514916441317
thal,discrete,,,0.056194969635120426
heart-disease,discrete,,,0.025647448795322866
