variable,type,KS,W1,JSD
age,continuous,0.16296296296296298,2.536706474471143,
sex,discrete,,,0.12326454715928148
chest-pain,discrete,,,0.1683615082645917
rest-bp,continuous,0.15555555555555556,3.986664104591348,
serum-chol,continuous,0.1259259259259259,9.572396242566192,
fasting-blood-sugar,discrete,,,0.08937906907680855
electrocardiographic,discrete,,,0.05429326261470889
max-heart-rate,continuous,0.14814814814814814,4.964014486107496,
angina,discrete,,,0.09699283593894158
oldpeak,continuous,0.35185185185185186,0.22280631895442038,
slope,discrete,,,0.08600002206480496
major-vessels,discrete,,,0.15818363066154337
thal,discrete,,,0.0934624426715841
heart-disease,discrete,,,0.06994251185655917
