variable,type,KS,W1,JSD
age,continuous,0.14074074074074075,1.7605033694821424,
sex,discrete,,,0.0519251026107517
chest-pain,discrete,,,0.15466216958939744
rest-bp,continuous,0.21851851851851853,4.667957832845744,
serum-chol,continuous,0.08518518518518518,5.735217143640887,
fasting-blood-sugar,discrete,,,0.07098183628757963
electrocardiographic,discrete,,,0.07934481725798644
max-heart-rate,continuous,0.10740740740740741,3.626339634166959,
angina,discrete,,,0.1035654137433879
oldpeak,continuous,0.17777777777777778,0.3597531234744115,
slope,discrete,,,0.04275778701323578
major-vessels,discrete,,,0.18757263886517678
thal,discrete,,,0.07800640818751367
heart-disease,discrete,,,0.06679586209712313
