variable,type,JSD,KS,W1
Gallstone Status,discrete,0.022590807545498234,,
Age,continuous,,0.11006073667711598,2.296771559201333
Gender,discrete,0.030549051774728126,,
Comorbidity,discrete,0.11087451296262626,,
Coronary Artery Disease (CAD),discrete,0.03465287239201702,,
Hypothyroidism,discrete,0.033994470646490194,,
Hyperlipidemia,discrete,0.1124902055219,,
Diabetes Mellitus (DM),discrete,0.05492131226589883,,
Height,continuous,,0.18304271159874608,3.872729861705145
Weight,continuous,,0.1304858934169279,2.1665090871575785
Body Mass Index (BMI),continuous,,0.15453565830721003,1.7642123455486256
Total Body Water (TBW),continuous,,0.10241967084639499,1.3678464602823024
Extracellular Water (ECW),continuous,,0.12705721003134796,0.5020899350283061
Intracellular Water (ICW),continuous,,0.12436324451410659,0.778598819716183
Extracellular Fluid/Total Body Water (ECF/TBW),continuous,,0.15478056426332287,0.7117341607940015
Total Body Fat Ratio (TBFR) (%),continuous,,0.13509012539184953,2.4496408971032704
Lean Mass (LM) (%),continuous,,0.14135971786833856,2.1488897399505587
Body Protein Content (Protein) (%),continuous,,0.15727860501567398,0.7099810078763558
Visceral Fat Rating (VFR),continuous,,0.1203467868338558,0.6953010923479899
Bone Mass (BM),continuous,,0.16467476489028213,0.10371034806702595
Muscle Mass (MM),continuous,,0.13670650470219436,1.7650475342873377
Obesity (%),continuous,,0.17687108150470218,32.56544899135609
Total Fat Content (TFC),continuous,,0.13577586206896552,2.5536544319390924
Visceral Fat Area (VFA),continuous,,0.12049373040752351,1.028148031010756
Visceral Muscle Area (VMA) (Kg),continuous,,0.13959639498432602,0.9536271872990908
Hepatic Fat Accumulation (HFA),discrete,0.10702210593753722,,
Glucose,continuous,,0.27973158307210033,20.07479069306776
Total Cholesterol (TC),continuous,,0.11148119122257054,9.105383717352733
Low Density Lipoprotein (LDL),continuous,,0.08669670846394985,5.058049826655997
High Density Lipoprotein (HDL),continuous,,0.11030564263322884,4.202251840764195
Triglyceride,continuous,,0.19553291536050157,37.39247346011356
Aspartat Aminotransferaz (AST),continuous,,0.16947492163009403,5.3630609696214195
Alanin Aminotransferaz (ALT),continuous,,0.21022727272727273,8.140868607235461
Alkaline Phosphatase (ALP),continuous,,0.163891065830721,5.496181737090681
Creatinine,continuous,,0.10036246081504702,0.03869197068602483
Glomerular Filtration Rate (GFR),continuous,,0.11980799373040753,3.376562677713797
C-Reactive Protein (CRP),continuous,,0.3103448275862069,1.9930467576991893
Hemoglobin (HGB),continuous,,0.08032915360501568,0.18411732757772853
Vitamin D,continuous,,0.07254114420062696,1.312165019964104
