variable,type,JSD,KS,W1
Gallstone Status,discrete,0.07765887586147507,,
Age,continuous,,0.987460815047022,28.068965517241384
Gender,discrete,0.2664774836186239,,
Comorbidity,discrete,0.4142060623381535,,
Coronary Artery Disease (CAD),discrete,0.006861636372378008,,
Hypothyroidism,discrete,0.029261607016992333,,
Hyperlipidemia,discrete,0.05207153664625141,,
Diabetes Mellitus (DM),discrete,0.019038034808748005,,
Height,continuous,,0.9373040752351097,21.430625476596642
Weight,continuous,,0.987460815047022,53.78400466381316
Body Mass Index (BMI),continuous,,0.8056426332288401,14.033456576732089
Total Body Water (TBW),continuous,,0.9780564263322884,25.27695894050774
Extracellular Water (ECW),continuous,,0.9968652037617555,8.071159874608151
Intracellular Water (ICW),continuous,,0.49216300940438873,11.33873548160198
Extracellular Fluid/Total Body Water (ECF/TBW),continuous,,0.8808777429467085,8.34583594948562
Total Body Fat Ratio (TBFR) (%),continuous,,0.9655172413793104,20.927270879438062
Lean Mass (LM) (%),continuous,,0.23824451410658307,5.411914518378826
Body Protein Content (Protein) (%),continuous,,0.7586206896551724,5.7546436333068
Visceral Fat Rating (VFR),continuous,,0.677115987460815,8.992161955682654
Bone Mass (BM),continuous,,0.8746081504702194,1.0699339555300704
Muscle Mass (MM),continuous,,0.9623824451410659,37.36626799643166
Obesity (%),continuous,,0.9937304075235109,35.45012539184956
Total Fat Content (TFC),continuous,,0.9937304075235109,19.294670846394986
Visceral Fat Area (VFA),continuous,,0.30094043887147337,4.172521896072592
Visceral Muscle Area (VMA) (Kg),continuous,,0.6520376175548589,8.246084769087595
Hepatic Fat Accumulation (HFA),discrete,0.12281583542359605,,
Glucose,continuous,,0.6739811912225705,20.91306807030562
Total Cholesterol (TC),continuous,,0.9968652037617555,143.44400135467288
Low Density Lipoprotein (LDL),continuous,,0.7617554858934169,80.5465016080263
High Density Lipoprotein (HDL),continuous,,0.9937304075235109,24.47554858934169
Triglyceride,continuous,,0.9968652037617555,143.1121630094044
Aspartat Aminotransferaz (AST),continuous,,0.7460815047021944,38.194783179861375
Alanin Aminotransferaz (ALT),continuous,,0.9811912225705329,135.56092646228245
Alkaline Phosphatase (ALP),continuous,,0.9216300940438872,61.564324172859926
Creatinine,continuous,,0.30094043887147337,0.12351348605721055
Glomerular Filtration Rate (GFR),continuous,,0.9592476489028213,68.69662425476355
C-Reactive Protein (CRP),continuous,,0.3949843260188088,4.333362859605332
Hemoglobin (HGB),continuous,,0.8557993730407524,3.9741021941651455
Vitamin D,continuous,,0.987460815047022,29.34361312011933
