variable,type,JSD,KS,W1
Gallstone Status,discrete,0.005325573250143806,,
Age,continuous,,0.06896551724137931,0.9298995976339881
Gender,discrete,0.018638269934014882,,
Comorbidity,discrete,0.10440002516332546,,
Coronary Artery Disease (CAD),discrete,0.0,,
Hypothyroidism,discrete,0.0,,
Hyperlipidemia,discrete,0.01609556033798898,,
Diabetes Mellitus (DM),discrete,0.0038791894663963134,,
Height,continuous,,0.12225705329153605,1.3321793879381205
Weight,continuous,,0.07210031347962383,1.5836248496959362
Body Mass Index (BMI),continuous,,0.050156739811912224,0.2684860717409539
Total Body Water (TBW),continuous,,0.050156739811912224,0.6697951394355803
Extracellular Water (ECW),continuous,,0.07836990595611286,0.34804866654631655
Intracellular Water (ICW),continuous,,0.07210031347962383,0.7378153784210757
Extracellular Fluid/Total Body Water (ECF/TBW),continuous,,0.11598746081504702,0.45780523694658504
Total Body Fat Ratio (TBFR) (%),continuous,,0.06896551724137931,0.9082642633104021
Lean Mass (LM) (%),continuous,,0.10344827586206896,1.0519972849010468
Body Protein Content (Protein) (%),continuous,,0.05329153605015674,0.25380570779240497
Visceral Fat Rating (VFR),continuous,,0.09404388714733543,0.46053689335497194
Bone Mass (BM),continuous,,0.0877742946708464,0.061002402499265945
Muscle Mass (MM),continuous,,0.06896551724137931,1.153601320331847
Obesity (%),continuous,,0.0877742946708464,11.811661559085618
Total Fat Content (TFC),continuous,,0.06896551724137931,1.2026058155568622
Visceral Fat Area (VFA),continuous,,0.0877742946708464,1.0417161816130487
Visceral Muscle Area (VMA) (Kg),continuous,,0.05642633228840126,0.3815978146317799
Hepatic Fat Accumulation (HFA),discrete,0.045960411266212226,,
Glucose,continuous,,0.16300940438871472,8.902085960173313
Total Cholesterol (TC),continuous,,0.07523510971786834,6.094458501383584
Low Density Lipoprotein (LDL),continuous,,0.08463949843260188,3.742082245476269
High Density Lipoprotein (HDL),continuous,,0.07210031347962383,1.780228559051849
Triglyceride,continuous,,0.07836990595611286,13.565945978713426
Aspartat Aminotransferaz (AST),continuous,,0.09404388714733543,1.999488019482801
Alanin Aminotransferaz (ALT),continuous,,0.09090909090909091,3.7915062565957993
Alkaline Phosphatase (ALP),continuous,,0.07523510971786834,2.541678549318787
Creatinine,continuous,,0.07836990595611286,0.021280527085276127
Glomerular Filtration Rate (GFR),continuous,,0.11598746081504702,3.64176074254439
C-Reactive Protein (CRP),continuous,,0.4200626959247649,1.2561927413686278
Hemoglobin (HGB),continuous,,0.07523510971786834,0.22155355395499285
Vitamin D,continuous,,0.06583072100313479,0.8977551990930457
