variable,type,JSD,KS,W1
Gallstone Status,discrete,0.0053249451768288296,,
Age,continuous,,0.07210031347962383,0.9809399538219394
Gender,discrete,0.013312526486132818,,
Comorbidity,discrete,0.03352016595734909,,
Coronary Artery Disease (CAD),discrete,0.022421275432782335,,
Hypothyroidism,discrete,0.015291311502733232,,
Hyperlipidemia,discrete,0.00878900905559616,,
Diabetes Mellitus (DM),discrete,0.022743947103472058,,
Height,continuous,,0.07210031347962383,1.2361209694255941
Weight,continuous,,0.06896551724137931,1.2319787647852534
Body Mass Index (BMI),continuous,,0.109717868338558,1.1595068352385023
Total Body Water (TBW),continuous,,0.07523510971786834,0.9306066119885353
Extracellular Water (ECW),continuous,,0.07523510971786834,0.43946221725793916
Intracellular Water (ICW),continuous,,0.07836990595611286,0.5688634746907824
Extracellular Fluid/Total Body Water (ECF/TBW),continuous,,0.07210031347962383,0.379971091356794
Total Body Fat Ratio (TBFR) (%),continuous,,0.09717868338557993,1.737984867193047
Lean Mass (LM) (%),continuous,,0.09717868338557993,1.7598004126369258
Body Protein Content (Protein) (%),continuous,,0.08150470219435736,0.447651485648767
Visceral Fat Rating (VFR),continuous,,0.07836990595611286,0.5346394972152315
Bone Mass (BM),continuous,,0.10344827586206896,0.07747916731207324
Muscle Mass (MM),continuous,,0.10031347962382445,1.6185322887290994
Obesity (%),continuous,,0.11912225705329153,21.249313238613937
Total Fat Content (TFC),continuous,,0.11285266457680251,2.018346026727015
Visceral Fat Area (VFA),continuous,,0.07210031347962383,0.7017227449074486
Visceral Muscle Area (VMA) (Kg),continuous,,0.06583072100313479,0.3617551013516354
Hepatic Fat Accumulation (HFA),discrete,0.05324578506278283,,
Glucose,continuous,,0.15987460815047022,13.378456729145114
Total Cholesterol (TC),continuous,,0.08150470219435736,4.924436966332666
Low Density Lipoprotein (LDL),continuous,,0.08150470219435736,4.480793617427986
High Density Lipoprotein (HDL),continuous,,0.08150470219435736,3.327116902609858
Triglyceride,continuous,,0.12852664576802508,19.274024733117322
Aspartat Aminotransferaz (AST),continuous,,0.15047021943573669,5.228681283160473
Alanin Aminotransferaz (ALT),continuous,,0.14733542319749215,9.038261352680703
Alkaline Phosphatase (ALP),continuous,,0.06583072100313479,2.5539750633233362
Creatinine,continuous,,0.08150470219435736,0.020387529537215506
Glomerular Filtration Rate (GFR),continuous,,0.109717868338558,3.160025229121234
C-Reactive Protein (CRP),continuous,,0.2852664576802508,2.0594124932507083
Hemoglobin (HGB),continuous,,0.07210031347962383,0.18790437548908823
Vitamin D,continuous,,0.05642633228840126,0.7949477204395174
