variable,type,JSD,KS,W1
Gallstone Status,discrete,0.06944388126498968,,
Age,continuous,,0.26959247648902823,5.7794333184922735
Gender,discrete,0.01065418436009961,,
Comorbidity,discrete,0.1265685394906123,,
Coronary Artery Disease (CAD),discrete,0.007142278605209658,,
Hypothyroidism,discrete,0.1193825235864903,,
Hyperlipidemia,discrete,0.02839244630832449,,
Diabetes Mellitus (DM),discrete,0.1382957747217846,,
Height,continuous,,0.16927899686520376,2.46258704419734
Weight,continuous,,0.26959247648902823,8.125156865293963
Body Mass Index (BMI),continuous,,0.30094043887147337,2.8335618723370066
Total Body Water (TBW),continuous,,0.1536050156739812,2.4114420241768455
Extracellular Water (ECW),continuous,,0.219435736677116,1.2554947010053938
Intracellular Water (ICW),continuous,,0.16614420062695925,1.5599434386269084
Extracellular Fluid/Total Body Water (ECF/TBW),continuous,,0.26332288401253917,1.1495958709613596
Total Body Fat Ratio (TBFR) (%),continuous,,0.1786833855799373,2.389585857568498
Lean Mass (LM) (%),continuous,,0.1974921630094044,2.48872677773709
Body Protein Content (Protein) (%),continuous,,0.25391849529780564,1.1247580081943815
Visceral Fat Rating (VFR),continuous,,0.31347962382445144,2.310237196292101
Bone Mass (BM),continuous,,0.2476489028213166,0.168873694075257
Muscle Mass (MM),continuous,,0.15987460815047022,3.1002522145146765
Obesity (%),continuous,,0.3072100313479624,14.647600815286019
Total Fat Content (TFC),continuous,,0.29153605015673983,4.927669671770025
Visceral Fat Area (VFA),continuous,,0.26959247648902823,2.655965780107597
Visceral Muscle Area (VMA) (Kg),continuous,,0.19122257053291536,1.4215941979313493
Hepatic Fat Accumulation (HFA),discrete,0.13339292111865825,,
Glucose,continuous,,0.2445141065830721,11.212561122363383
Total Cholesterol (TC),continuous,,0.21316614420062696,19.501282214513253
Low Density Lipoprotein (LDL),continuous,,0.2413793103448276,18.76447095480749
High Density Lipoprotein (HDL),continuous,,0.2946708463949843,6.479956534630524
Triglyceride,continuous,,0.18808777429467086,19.179492331006017
Aspartat Aminotransferaz (AST),continuous,,0.2413793103448276,3.700004191766229
Alanin Aminotransferaz (ALT),continuous,,0.1974921630094044,4.883742645658597
Alkaline Phosphatase (ALP),continuous,,0.2476489028213166,9.909408923264998
Creatinine,continuous,,0.20376175548589343,0.0657993332279012
Glomerular Filtration Rate (GFR),continuous,,0.219435736677116,5.805600804230556
C-Reactive Protein (CRP),continuous,,0.3542319749216301,1.1756747330243187
Hemoglobin (HGB),continuous,,0.23824451410658307,0.8110483443495163
Vitamin D,continuous,,0.15987460815047022,2.657176218217207
